,Name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.176900000000001e+30,1189647000.0,196.971799550325
2,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
3,Arcturus,37.0,2.1879e+30,18088200000.0,0.4462959727892475
4,Vega,25.0,4.3758e+30,1878390000.0,82.76984296448046
5,Capella,43.0,5.1714e+30,8348400000.0,4.952082081908975
6,Procyon,11.4,2.9835000000000004e+30,1321830000.0,113.9622554541166
7,Altair,17.0,3.5802e+30,1252260000.0,152.37175636643
8,Aldebaran,65.0,2.9835000000000004e+30,30610800000.0,0.21250193294905
9,Pollux,34.0,3.7791e+30,6122160000.000001,6.729227876719917
10,Fomalhaut,25.0,3.7791e+30,1252260000.0,160.83685394234274
11,Regulus,77.0,7.558199999999999e+30,2156670000.0,108.45190567600218
12,Castor,52.0,5.569200000000001e+30,1669680000.0,133.32528682062622
13,Gacrux,88.0,2.9835000000000004e+30,58438800000.0,0.0583055190177665
14,Alnilam,20.0,6.3648e+31,29219400000.0,4.975404289516081
15,Alioth,81.0,5.768100000000001e+30,2921940000.0,45.08960137373948
16,Menkalinan,81.0,4.75371e+30,1927089000.0,85.43097080483021
17,Alsephina,80.0,4.7736e+30,2017530000.0,78.26943965552644
18,Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
19,Delta Pavonis,19.92,1.971099e+30,848754000.0,182.61269753187165
20,Ran,10.48,1.6309799999999997e+30,514818000.0,410.7025427261698
21,Mu Cephei,60.0,3.81888e+31,676220400000.0,0.0055737267989549
22,Titawin,44.25,2.5260300000000002e+30,1029636000.0,159.02202111653529
23,61 Cygni,11.41,1.3923000000000002e+30,462640500.0,434.1419255394918
24,54 Piscium,36.1,1.5116400000000002e+30,653958000.0,235.9037604224493
25,Lacaille 8760,12.87,1.1934e+30,354807000.0,632.685493563031
26,Barnard's Star,5.98,2.7846000000000004e+29,139140000.0,959.9420651085088
27,Proxima Centauri,4.25,2.3868000000000002e+29,104355000.0,1462.7688611177275
28,Gliese 1214,47.5,3.1824e+29,146097000.0,995.0808579032164
29,VB 10,18.72,1.49175e+29,69570000.0,2057.0187109468043
30,TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,1695.1357895765332
31,2MASS J0523-1403,40.3,1.3923000000000002e+29,59830199.99999999,2595.841171196618
32,SDSS J000013.54+255418.6,46.1,9.810989136e+30,657465.802884,1514790804.2209277
33,2MASS J00242463-0158201,37.7,1.6147252952999995e+31,723876.4900440001,2056628771.956232
34,2MASSW J0030300-145033,87.2,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
35,2MASS J00345157+0523050,31.0,8.584615494e+30,624260.459304,1470196535.5532086
36,2MASS 0036+1821,28.6,8.584615494e+30,624260.459304,1470196535.5532086
37,2MASSW J0045214+163445,57.0,4.701098961e+30,1075853.1319920002,271068853.4045037
38,WISEP J004701.06+680352.1,40.0,2.452747284e+30,863338.9330800001,219622258.46404305
39,2MASS J00501994-3322402,34.0,8.175824279999999e+30,624260.459304,1400187176.7173412
40,2MASS J00584253-0651239,96.0,5.927472602999999e+30,949672.826388,438639496.93231744
41,2MASSI J0103320+193536,70.0,1.0628571563999995e+31,650824.7341679999,1674684512.86097
42,SDSSp J010752.33+004156.1,51.0,1.0628571563999995e+31,650824.7341679999,1674684512.86097
43,SDSS J015141.69+124429.6,70.0,9.606593529e+30,644183.665452,1545027455.0783772
44,2MASS J02431371-2453298,35.0,6.745055030999999e+30,657465.802884,1041418677.9018877
45,LP 771-21,53.0,1.5942857346e+31,717235.4213280001,2068373207.499582
46,Teegarden's star,12.578,1.6351648559999995e+31,843415.7269320001,1534137751.0663304
47,WISE J0254+0223,24.0,1.3285714455e+31,1261803.05604,556913783.2935165
48,DEN 0255-4700,16.2,1.6351648559999995e+31,644183.665452,2629833966.090855
49,2MASS J03185403-3421292,45.0,1.0015384743e+31,644183.665452,1610773304.2306488
50,2MASS J03205965+1854233,47.0,1.7986813416e+31,763722.90234,2058111044.6611528
51,SDSS J032553.17+042540.1,59.0,9.197802314999998e+30,630901.52802,1542222784.505123
52,2MASS J03264225-2102057,80.0,3.679120926e+30,863338.9330800001,329433387.6960646
53,2MASS J03284265+2302051,98.0,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
54,2MASS J03341218-4953322,27.0,1.4920879310999998e+31,690671.146464,2087555321.33791
55,LP 944-20,20.9,1.4920879310999998e+31,949672.826388,1104161492.2779026
56,2MASP J0345432+254023,88.0,1.5125274918e+31,697312.21518,2076036254.233804
57,2MASS J03510004-0052452,48.0,2.0848351914e+31,843415.7269320001,1956025632.609572
58,2MASS J03552337+1133437,29.8,4.0879121399999993e+30,876621.070512,355029094.7392799
59,2MASS J04151954-0935066,18.6,6.131868209999999e+30,630901.52802,1028148523.0034152
60,2MASS J04285096-2253227,85.0,1.6351648559999995e+31,723876.4900440001,2082662047.550614
61,2MASS J04351612-1606574,34.0,2.04395607e+31,836774.6582160001,1948232220.564756
62,2MASS J04390101-2353083,29.5,9.810989136e+30,644183.665452,1577900379.6545131
63,2MASS J04433764+0002040,82.0,4.496703354e+30,1182110.231448,214765485.4630392
64,2MASS J04455387-3048204,42.0,1.3081318848e+31,664106.8716000001,1979528622.955908
65,2MASS J04510093-3402150,69.0,2.1257143128e+29,47815694.7552,6205.11962249875
66,2MASS J05002100+0330501,44.0,1.3081318848e+31,664106.8716000001,1979528622.955908
67,2MASS J05012406-0010452,64.0,4.292307747e+30,916467.482808,341069538.6512328
68,2MASS J05160945-0445499,73.0,9.606593529e+30,644183.665452,1545027455.0783772
69,2MASS J0523-1403,40.0,1.3898901275999998e+31,670747.940316,2061806844.319824
70,SDSS J053951.99-005902.0,41.62,1.2468132027e+31,670747.940316,1849562022.1104305
71,LSR 0602+3910,34.6,5.723076996e+30,936390.688956,435613788.31206185
72,2MASS J06244595-4521548,39.0,1.1446153992e+31,657465.802884,1767255938.2577493
73,2MASS J06411840-4322329,65.0,1.3694505669e+31,670747.940316,2031486155.432768
